,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0,3904326,VER,1,120179,1.0,1.0,,,-1,49276,35061,,0 days 01:04:29.265000,0 days 01:05:04.405000,278.0,124.0,197.0,122.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:03:03.844000,2023-09-24 05:04:05.253,124,1.0,False,,False,False
1,4068688,VER,1,-1,2.0,1.0,,,65251,68600,30466,0 days 01:06:09.622000,0 days 01:07:18.246000,0 days 01:07:48.699000,119.0,214.0,123.0,129.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 01:05:04.326000,2023-09-24 05:06:05.735,4,1.0,False,,False,False
2,4234016,VER,1,-1,3.0,1.0,,,68931,68363,28070,0 days 01:08:57.635000,0 days 01:10:05.946000,0 days 01:10:34.086000,132.0,233.0,206.0,192.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:07:48.688000,2023-09-24 05:08:50.097,4,1.0,False,,False,False
3,4409674,VER,1,-1,4.0,1.0,,,60867,66499,48366,0 days 01:11:34.991000,0 days 01:12:41.490000,0 days 01:13:29.833000,170.0,76.0,253.0,70.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:10:34.016000,2023-09-24 05:11:35.425,41,1.0,False,,False,False
4,4506422,VER,1,96748,5.0,1.0,,,34900,42960,18888,0 days 01:14:04.574000,0 days 01:14:47.534000,0 days 01:15:06.422000,276.0,294.0,253.0,286.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:13:29.674000,2023-09-24 05:14:31.083,1,1.0,False,,False,True
5,4604259,VER,1,97837,6.0,1.0,,,35176,43659,19002,0 days 01:15:41.598000,0 days 01:16:25.257000,0 days 01:16:44.259000,274.0,295.0,253.0,285.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:15:06.422000,2023-09-24 05:16:07.831,1,1.0,False,,False,True
6,4702292,VER,1,98033,7.0,1.0,,,35395,43518,19120,0 days 01:17:19.654000,0 days 01:18:03.172000,0 days 01:18:22.292000,277.0,296.0,254.0,283.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:16:44.259000,2023-09-24 05:17:45.668,1,1.0,False,,False,True
7,4800440,VER,1,98148,8.0,1.0,,,35547,43697,18904,0 days 01:18:57.839000,0 days 01:19:41.536000,0 days 01:20:00.440000,,295.0,254.0,288.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:18:22.292000,2023-09-24 05:19:23.701,1,1.0,False,,False,True
8,4898681,VER,1,98241,9.0,1.0,,,35535,43764,18942,0 days 01:20:35.975000,0 days 01:21:19.739000,0 days 01:21:38.681000,275.0,296.0,253.0,285.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:20:00.440000,2023-09-24 05:21:01.849,1,1.0,False,,False,True
9,4996982,VER,1,98301,10.0,1.0,,,35544,43760,18997,0 days 01:22:14.225000,0 days 01:22:57.985000,0 days 01:23:16.982000,274.0,296.0,253.0,285.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:21:38.681000,2023-09-24 05:22:40.090,1,1.0,False,,False,True
10,5095501,VER,1,98519,11.0,1.0,,,35704,43810,19005,0 days 01:23:52.686000,0 days 01:24:36.496000,0 days 01:24:55.501000,273.0,296.0,254.0,283.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:23:16.982000,2023-09-24 05:24:18.391,1,1.0,False,,False,True
11,5194152,VER,1,98651,12.0,1.0,,,35709,43950,18992,0 days 01:25:31.210000,0 days 01:26:15.160000,0 days 01:26:34.152000,,297.0,254.0,287.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:24:55.501000,2023-09-24 05:25:56.910,12,1.0,False,,False,True
12,5292841,VER,1,98689,13.0,1.0,,,35715,43930,19044,0 days 01:27:09.867000,0 days 01:27:53.797000,0 days 01:28:12.841000,277.0,298.0,253.0,288.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:26:34.152000,2023-09-24 05:27:35.561,1,1.0,False,,False,True
13,5412595,VER,1,119754,14.0,1.0,,,43967,56351,19436,0 days 01:28:56.808000,0 days 01:29:53.159000,0 days 01:30:12.595000,231.0,254.0,253.0,288.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:28:12.841000,2023-09-24 05:29:14.250,167,1.0,False,,False,False
14,5510968,VER,1,98373,15.0,1.0,,,35566,43781,19026,0 days 01:30:48.161000,0 days 01:31:31.942000,0 days 01:31:50.968000,277.0,297.0,254.0,286.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:30:12.595000,2023-09-24 05:31:14.004,1,1.0,False,,False,True
15,5612140,VER,1,101172,16.0,1.0,,0 days 01:33:30.843000,35811,43803,21558,0 days 01:32:26.779000,0 days 01:33:10.582000,0 days 01:33:32.140000,276.0,297.0,,289.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:31:50.968000,2023-09-24 05:32:52.377,1,1.0,False,,False,False
16,5730165,VER,1,118025,17.0,2.0,0 days 01:33:55.140000,,55875,43296,18854,0 days 01:34:28.015000,0 days 01:35:11.311000,0 days 01:35:30.165000,274.0,298.0,255.0,286.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:33:32.140000,2023-09-24 05:34:33.549,1,5.0,False,,False,False
17,5827564,VER,1,97399,18.0,2.0,,,35205,43259,18935,0 days 01:36:05.370000,0 days 01:36:48.629000,0 days 01:37:07.564000,278.0,299.0,256.0,286.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 01:35:30.165000,2023-09-24 05:36:31.574,1,3.0,False,,False,True
18,5925333,VER,1,97769,19.0,2.0,,,35312,43573,18884,0 days 01:37:42.876000,0 days 01:38:26.449000,0 days 01:38:45.333000,280.0,297.0,254.0,287.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:37:07.564000,2023-09-24 05:38:08.973,1,1.0,False,,False,True
19,6022677,VER,1,97344,20.0,2.0,,,35182,43275,18887,0 days 01:39:20.515000,0 days 01:40:03.790000,0 days 01:40:22.677000,277.0,297.0,255.0,284.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:38:45.333000,2023-09-24 05:39:46.742,1,1.0,False,,False,True
20,6120242,VER,1,97565,21.0,2.0,,,35243,43400,18922,0 days 01:40:57.920000,0 days 01:41:41.320000,0 days 01:42:00.242000,278.0,297.0,255.0,287.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:40:22.677000,2023-09-24 05:41:24.086,1,1.0,False,,False,True
21,6217834,VER,1,97592,22.0,2.0,,,35387,43333,18872,0 days 01:42:35.629000,0 days 01:43:18.962000,0 days 01:43:37.834000,276.0,298.0,254.0,289.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:42:00.242000,2023-09-24 05:43:01.651,1,1.0,False,,False,True
22,6315556,VER,1,97722,23.0,2.0,,,35268,43546,18908,0 days 01:44:13.102000,0 days 01:44:56.648000,0 days 01:45:15.556000,,298.0,255.0,287.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:43:37.834000,2023-09-24 05:44:39.243,1,1.0,False,,False,True
23,6413270,VER,1,97714,24.0,2.0,,,35295,43465,18954,0 days 01:45:50.851000,0 days 01:46:34.316000,0 days 01:46:53.270000,277.0,299.0,255.0,286.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:45:15.556000,2023-09-24 05:46:16.965,1,1.0,False,,False,True
24,6511216,VER,1,97946,25.0,2.0,,,35443,43553,18950,0 days 01:47:28.713000,0 days 01:48:12.266000,0 days 01:48:31.216000,,297.0,255.0,288.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:46:53.270000,2023-09-24 05:47:54.679,1,1.0,False,,False,True
25,6609119,VER,1,97903,26.0,2.0,,,35391,43568,18944,0 days 01:49:06.607000,0 days 01:49:50.175000,0 days 01:50:09.119000,278.0,298.0,254.0,288.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:48:31.216000,2023-09-24 05:49:32.625,1,1.0,False,,False,True
26,6706984,VER,1,97865,27.0,2.0,,,35465,43540,18860,0 days 01:50:44.584000,0 days 01:51:28.124000,0 days 01:51:46.984000,274.0,297.0,254.0,289.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:50:09.119000,2023-09-24 05:51:10.528,1,1.0,False,,False,True
27,6804542,VER,1,97558,28.0,2.0,,,35321,43411,18826,0 days 01:52:22.305000,0 days 01:53:05.716000,0 days 01:53:24.542000,275.0,298.0,255.0,294.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:51:46.984000,2023-09-24 05:52:48.393,1,1.0,False,,False,True
28,6901966,VER,1,97424,29.0,2.0,,,35048,43439,18937,0 days 01:53:59.590000,0 days 01:54:43.029000,0 days 01:55:01.966000,,298.0,255.0,293.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:53:24.542000,2023-09-24 05:54:25.951,1,1.0,False,,False,True
29,6999565,VER,1,97599,30.0,2.0,,,35259,43400,18940,0 days 01:55:37.225000,0 days 01:56:20.625000,0 days 01:56:39.565000,276.0,298.0,255.0,295.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:55:01.966000,2023-09-24 05:56:03.375,1,1.0,False,,False,True
30,7097164,VER,1,97599,31.0,2.0,,,35352,43368,18879,0 days 01:57:14.917000,0 days 01:57:58.285000,0 days 01:58:17.164000,279.0,299.0,254.0,295.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:56:39.565000,2023-09-24 05:57:40.974,1,1.0,False,,False,True
31,7195084,VER,1,97920,32.0,2.0,,,35434,43455,19031,0 days 01:58:52.598000,0 days 01:59:36.053000,0 days 01:59:55.084000,,298.0,255.0,294.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:58:17.164000,2023-09-24 05:59:18.573,1,1.0,False,,False,True
32,7292739,VER,1,97655,33.0,2.0,,,35356,43454,18845,0 days 02:00:30.440000,0 days 02:01:13.894000,0 days 02:01:32.739000,278.0,298.0,255.0,295.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:59:55.084000,2023-09-24 06:00:56.493,1,1.0,False,,False,True
33,7390472,VER,1,97733,34.0,2.0,,,35256,43649,18828,0 days 02:02:07.995000,0 days 02:02:51.644000,0 days 02:03:10.472000,,298.0,256.0,294.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 02:01:32.739000,2023-09-24 06:02:34.148,1,1.0,False,,False,True
34,7488260,VER,1,97788,35.0,2.0,,,35290,43599,18899,0 days 02:03:45.762000,0 days 02:04:29.361000,0 days 02:04:48.260000,274.0,301.0,255.0,296.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 02:03:10.472000,2023-09-24 06:04:11.881,1,1.0,False,,False,True
35,7586080,VER,1,97820,36.0,2.0,,,35333,43591,18896,0 days 02:05:23.593000,0 days 02:06:07.184000,0 days 02:06:26.080000,277.0,299.0,255.0,298.0,False,MEDIUM,20.0,True,Red Bull Racing,0 days 02:04:48.260000,2023-09-24 06:05:49.669,1,1.0,False,,False,True
36,7686344,VER,1,100264,37.0,2.0,,0 days 02:08:05.056000,35253,43610,21401,0 days 02:07:01.333000,0 days 02:07:44.943000,0 days 02:08:06.344000,275.0,298.0,,296.0,False,MEDIUM,21.0,True,Red Bull Racing,0 days 02:06:26.080000,2023-09-24 06:07:27.489,1,1.0,False,,False,False
